line,au_code
"--drowsy-browed, dull-eyed, drossy-spirited! I hold my",TM
"""Honour,"" and ""faithful servant,"" they are compliments",TM
"""La dildo, dildo la dildo, la dildo dildo de dildo.""",TM
"""Love that's wise, blinds parents' eyes.""",TM
"""Love that's wise, blinds parents' eyes.""",TM
[Allwit takes off his hat.],TM
[Aside to Second Servant] Now 'a stands bare as well,TM
[Aside to Touchwood Junior] Sir?,TM
[Aside] And would I were rid of all the ware i' the shop so.,TM
"[Aside] Ay, as a man can get, and that's my master.",TM
"[Aside] By my faith, she's a good scholar, I see that already;",TM
"[Aside] Cog foggin? I scorn to cog with her,",TM
"[Aside] Green goose, you shall be sauced.",TM
"[Aside] Ha, ha, ha, this knight will stick by my ribs still,",TM
"[Aside] His jealousy begins, am not I happy now",TM
[Aside] How strangely busy is the devil and riches;,TM
[Aside] I have no Latin word now for their runts;,TM
[Aside] I have stung him.,TM
"[Aside] I know not what he means; a suitor, quotha?",TM
[Aside] I'll stop that gap,TM
"[Aside] Into one cup, most proper,",TM
"[Aside] Let me see, stay,",TM
[Aside] My knight with a brace of footmen,TM
"[Aside] My love, the goldsmith's daughter, if I send,",TM
"[Aside] No matter and you were hanged, sir.",TM
"[Aside] Nor you neither, i'faith.",TM
"[Aside] Now I must do it, or he'll be as angry now as if I had",TM
"[Aside] O mistress, weeping or railing,",TM
"[Aside] O, were I made of wishes, I went with thee.",TM
"[Aside] Pure Welsh virgin, she lost her maidenhead in Brecknockshire.",TM
"[Aside] Should he hear 'em! These are two foolish children,",TM
[Aside] That stood me in some three pence.,TM
[Aside] That word has been of force to move a woman.--,TM
[Aside] The game begins already.,TM
[Aside] The girl is wondrous peevish; I fear nothing,TM
[Aside] The more slave;,TM
"[Aside] There's all our ill removed, if she were well now.--",TM
"[Aside] This butcher shall kiss Newgate, 'less he turn up
The bottom of the pocket of his apron.--",TM
[Aside] This is monstrous.,TM
[Aside] This is most strange; may be he can speak Welsh--,TM
[Aside] Thy doom take hold of thee.,TM
[Aside] What's this ferter and abundundis?,TM
"[Aside] Where's your legs, whoresons?",TM
"[Aside] Wipe your mouth, sir.",TM
"[Aside] Women had need of wit, if they'll shift here,",TM
[DRY] ,TM
[DRY] ,TM
[Enter a Dry Nurse.],TM
[Enter Dry Nurse and speaks to Maudlin.],TM
[Enter Wet Nurse.],TM
[Exeunt all but Allwit and Davy.],TM
[Exeunt Gossips.] Enter Touchwood Junior and Moll.,TM
"[Exeunt Maudlin, Tim and Welsh Gentlewoman.]",TM
[Exeunt Mistress Allwit and Sir Walter.],TM
[Exeunt omnes.],TM
[Exeunt Puritans.],TM
"[Exeunt Touchwood Senior and Susan, carrying Moll].",TM
[Exeunt Wat and Nick.],TM
[Exeunt Watermen.],TM
[Exeunt.],TM
[Exeunt.],TM
[Exeunt.],TM
[Exeunt.],TM
[Exeunt.],TM
[Exeunt.],TM
[Exeunt.],TM
[Exeunt.],TM
[Exeunt.],TM
"[Exeunt.] Enter Sir Walter, Yellowhammer, Tim and Tutor.",TM
[Exit Dry Nurse.],TM
[Exit Dry Nurse.],TM
[Exit Gentleman.],TM
[Exit Second Man.],TM
[Exit Third Servant.] Enter two Puritans.,TM
[Exit.],TM
[Exit.],TM
[Exit.],TM
[Exit.],TM
[Exit.],TM
[FIRST] ER,TM
[FIRST] SERVANT,TM
[FIRST] SERVANT,TM
"[Giving Mrs. Allwit a cup and spoons] A poor remembrance, lady!",TM
[He kisses her.],TM
[He takes the basket and opens it.],TM
[I.ii. Allwit's house.],TM
[II.ii. Another street.],TM
[II.iii. A hall in Allwit's house.],TM
[II.iv. The street outside Allwit's house.],TM
[III.ii. Allwit's house.],TM
[III.iii. Sir Oliver's house.],TM
"[including Lady Kix, Mistress Allwit, and Susan]. Then",TM
[IV.ii. A bank of the Thames.],TM
[Kiss.],TM
[Moll and Touchwood Junior rise from their coffins.],TM
[Reads letter] Amantissimis charissimisque ambobus parentibus patri et matri.,TM
"[Searches for a paper] Good faith, 'tis down, I cannot show't you,",TM
"[Sings] Weep eyes, break heart,",TM
"[Taking her basket] What time of the year is't, sister?",TM
[THIRD] SERVANT,TM
[THIRD] SERVANT,TM
"[To her] Salve tu quoque puella pulcherrima,
Quid vis nescio nec sane curo--",TM
"[To Moll, hands her note] Turn not to me till thou mayst lawfully,",TM
[To Yellowhammer and Maudlin] Forbear or I'll grow worse.,TM
[V.ii. Yellowhammer's house.],TM
[V.iii. Sir Oliver's house.],TM
[V.iv. A church.],TM
[WET] ,TM
[WET] ,TM
[WET] ,TM
[Wounds Sir Walter.],TM
"A bargain, as our [joy] grows,",TM
"A bashful girl, sir; these young things are shamefast.",TM
"A bed thrust out upon the stage, Allwit's Wife in it. E",TM
"A bonfire, sir?",TM
"A brave court spirit makes our virgins quiver,",TM
A child!,TM
A double devil.,TM
"A fair, fast, legible hand.",TM
"A fault, what is't?",TM
"A fine, plump, black-eyed slut, under correction, sir,",TM
A fitting compliment for a goldsmith's daughter.,TM
A gentleman,TM
"A good house kept, when we are altogether down;",TM
"A goodly girl, i'faith, give you joy on her,",TM
"A huge heir in Wales, at least to nineteen mountains,",TM
"A hundred marks the utmost, 'tis not for me else.",TM
"A hundred pound, sir.",TM
"A hundred pounds, sir?",TM
"A husband. Had not such a piece of flesh been ordained,",TM
A jest through the whole university;,TM
"A kind, proper gentleman,",TM
A kursen soul.,TM
"A lady lies not in like her; there's her embossings,",TM
"A law bout, sir, I mean.",TM
A letter from a gentleman in Cambridge.,TM
"A little faster, sir.",TM
"A looking glass; they have drunk so hard in plate,",TM
A maid that's neither kiff nor kin to me:,TM
"a man's humour once, and he may ha' him by the nose all his life. [Puts his hat back on]",TM
A marriage?,TM
"A mere stranger,",TM
A merry porter.,TM
A misery of a house.,TM
A nail or two.,TM
A neat bachelor.,TM
"a night, I was kept at it; I took delight to learn, and he",TM
A pair of truer hearts; to speak but truth,TM
A place for you to weep? What tears are those?,TM
"A plaguy girl, sir.",TM
"A politic baggage, she makes us swear to keep it;",TM
"A poor plain boy, an university man,",TM
A pox go with it.,TM
"A pox of all dissembling, cunning whores!",TM
A pox on thee.,TM
"A pox twice tipple ye, you are last and lowest.",TM
"A pox, it seems your purity loves sweet things w",TM
"a prop upholds my wife and me, and all my estate",TM
"A proper fair young gentlewoman, which I guess",TM
A quickly fleeting kiss?,TM
"A rack of mutton, sir,",TM
"A sensual fool now, as 'tis hard to 'scape it",TM
"a serving-man, and so much his horns make him.",TM
"A sheet with two knots, and away.",TM
