line,au_code
_Actus Primus. Scena Prima._,JF
"_Enter_ Clorin _a shepherdess, having buried her Love in an Arbour._",JF
"Hail, holy Earth, whose cold Arms do imbrace",JF
The truest man that ever fed his flocks,JF
"By the fat plains of fruitful _Thessaly_,",JF
"Thus I salute thy Grave, thus do I pay",JF
"My early vows, and tribute of mine eyes",JF
To thy still loved ashes; thus I free,JF
My self from all insuing heats and fires,JF
"Of love: all sports, delights and jolly games",JF
"That Shepherds hold full dear, thus put I off.",JF
Now no more shall these smooth brows be begirt,JF
"With youthful Coronals, and lead the Dance;",JF
No more the company of fresh fair Maids,JF
"And wanton Shepherds be to me delightful,",JF
Nor the shrill pleasing sound of merry pipes,JF
"Under some shady dell, when the cool wind",JF
"Plays on the leaves: all be far away,",JF
Since thou art far away; by whose dear side,JF
How often have I sat Crown'd with fresh flowers,JF
"For summers Queen, whil'st every Shepherds Boy",JF
"Puts on his lusty green, with gaudy hook,",JF
And hanging scrip of finest Cordevan.,JF
"But thou art gone, and these are gone with thee,",JF
And all are dead but thy dear memorie;,JF
"That shall out-live thee, and shall ever spring",JF
"Whilest there are pipes, or jolly Shepherds sing.",JF
"And here will I in honour of thy love,",JF
"Dwell by thy Grave, forgeting all those joys,",JF
"That former times made precious to mine eyes,",JF
Only remembring what my youth did gain,JF
"In the dark, hidden vertuous use of Herbs:",JF
"That will I practise, and as freely give",JF
"All my endeavours, as I gain'd them free.",JF
Of all green wounds I know the remedies,JF
"In Men or Cattel, be they stung with Snakes,",JF
"Or charm'd with powerful words of wicked Art,",JF
"Or be they Love-sick, or through too much heat",JF
"Grown wild or Lunatick, their eyes or ears",JF
"Thickned with misty filme of dulling Rheum,",JF
"These I can Cure, such secret vertue lies",JF
In Herbs applyed by a Virgins hand:,JF
"My meat shall be what these wild woods afford,",JF
"Berries, and Chesnuts, Plantanes, on whose Cheeks,",JF
"The Sun sits smiling, and the lofty fruit",JF
Pull'd from the fair head of the staight grown Pine;,JF
"On these I'le feed with free content and rest,",JF
"When night shall blind the world, by thy side blest.",JF
_Enter a_ Satyr.,JF
_Satyr._ Through yon same bending plain,JF
"That flings his arms down to the main,",JF
"And through these thick woods have I run,",JF
Whose bottom never kist the Sun,JF
"Since the lusty Spring began,",JF
"All to please my master _Pan,_",JF
Have I trotted without rest,JF
To get him Fruit; for at a Feast,JF
He entertains this coming night,JF
"His Paramour, the _Syrinx_ bright:",JF
But behold a fairer sight!                  [_He stands amazed._,JF
"By that Heavenly form of thine,",JF
"Brightest fair thou art divine,",JF
Sprung from great immortal race,JF
"Of the gods, for in thy face",JF
"Shines more awful Majesty,",JF
Than dull weak mortalitie,JF
"Dare with misty eyes behold,",JF
And live: therefore on this mold,JF
"Lowly do I bend my knee,",JF
In worship of thy Deitie;,JF
"Deign it Goddess from my hand,",JF
To receive what e're this land,JF
From her fertil Womb doth send,JF
Of her choice Fruits: and but lend,JF
"Belief to that the Satyre tells,",JF
"Fairer by the famous wells,",JF
"To this present day ne're grew,",JF
Never better nor more true.,JF
Here be Grapes whose lusty bloud,JF
"Is the learned Poets good,",JF
Sweeter yet did never crown,JF
"The head of _Bacchus_, Nuts more brown",JF
Than the Squirrels Teeth that crack them;,JF
Deign O fairest fair to take them.,JF
For these black ey'd _Driope_,JF
"Hath oftentimes commanded me,",JF
With my clasped knee to clime;,JF
See how well the lusty time,JF
"Hath deckt their rising cheeks in red,",JF
"Such as on your lips is spred,",JF
"Here be Berries for a Queen,",JF
"Some be red, some be green,",JF
"These are of that luscious meat,",JF
The great God _Pan_ himself doth eat:,JF
"All these, and what the woods can yield,",JF
"The hanging mountain or the field,",JF
"I freely offer, and ere long",JF
"Will bring you more, more sweet and strong,",JF
"Till when humbly leave I take,",JF
"Lest the great _Pan_ do awake,",JF
"That sleeping lies in a deep glade,",JF
"Under a broad Beeches shade,",JF
"I must go, I must run",JF
Swifter than the fiery Sun.                         [_Exit_.,JF
_Clo_. And all my fears go with thee.,JF
"What greatness or what private hidden power,",JF
Is there in me to draw submission,JF
"From this rude man, and beast? sure I am mortal:",JF
"The Daughter of a Shepherd, he was mortal:",JF
And she that bore me mortal: prick my hand,JF
"And it will bleed: a Feaver shakes me,",JF
"And the self same wind that makes the young Lambs shrink,",JF
Makes me a cold: my fear says I am mortal:,JF
Yet I have heard (my Mother told it me),JF
"And now I do believe it, if I keep",JF
"My Virgin Flower uncropt, pure, chaste, and fair,",JF
"No Goblin, Wood-god, Fairy, Elfe, or Fiend,",JF
"Satyr or other power that haunts the Groves,",JF
"Shall hurt my body, or by vain illusion",JF
Draw me to wander after idle fires;,JF
"Or voyces calling me in dead of night,",JF
"To make me follow, and so tole me on",JF
"Through mire and standing pools, to find my ruine:",JF
"Else why should this rough thing, who never knew",JF
"Manners, nor smooth humanity, whose heats",JF
"Are rougher than himself, and more mishapen,",JF
Thus mildly kneel to me? sure there is a power,JF
"In that great name of Virgin, that binds fast",JF
"All rude uncivil bloods, all appetites",JF
That break their confines: then strong Chastity,JF
"Be thou my strongest guard, for here I'le dwell",JF
In opposition against Fate and Hell.,JF
"_Enter an old_ Shepherd, _with him four couple of_ Shepherds",JF
_and_ Shepherdesses.,JF
_Old Shep_. Now we have done this holy Festival,JF
"In honour of our great God, and his rites",JF
"Perform'd, prepare your selves for chaste",JF
"And uncorrupted fires: that as the Priest,",JF
With powerful hand shall sprinkle on [your] Brows,JF
"His pure and holy water, ye may be",JF
"From all hot flames of lust, and loose thoughts free.",JF
"Kneel Shepherds, kneel, here comes the Priest of _Pan_.",JF
_Enter_ Priest.,JF
"_Priest_. Shepherds, thus I purge away,",JF
"Whatsoever this great day,",JF
"Or the past hours gave not good,",JF
To corrupt your Maiden blood:,JF
From the high rebellious heat,JF
"Of the Grapes, and strength of meat;",JF
"From the wanton quick desires,",JF
"They do kindle by their fires,",JF
"I do wash you with this water,",JF
Be you pure and fair hereafter.,JF
"From your Liver and your Veins,",JF
Thus I take away the stains.,JF
"All your thoughts be smooth and fair,",JF
Be ye fresh and free as Air.,JF
Never more let lustful heat,JF
"Through your purged conduits beat,",JF
"Or a plighted troth be broken,",JF
Or a wanton verse be spoken,JF
In a Shepherdesses ear;,JF
"Go your wayes, ye are all clear.",JF
[_They rise and sing in praise of_ Pan.,JF
The SONG.,JF
_Sing his praises that doth keep,JF
"Our Flocks from harm,_",JF
"Pan _the Father of our Sheep,",JF
And arm in arm,JF
"Tread we softly in a round,",JF
Whilest the hollow neighbouring ground,JF
Fills the Musick with her sound._,JF
"Pan, _O great God_ Pan, _to thee",JF
Thus do we sing:,JF
Thou that keep'st us chaste and free,JF
"As the young spring,",JF
"Ever be thy honour spoke,",JF
"From that place the morn is broke,",JF
To that place Day doth unyoke._,JF
[_Exeunt omnes but_ Perigot _and_ Amoret.,JF
"_Peri_. Stay gentle _Amoret_, thou fair brow'd Maid,",JF
"Thy Shepherd prays thee stay, that holds thee dear,",JF
Equal with his souls good.,JF
_Amo_. Speak; I give,JF
"Thee freedom Shepherd, and thy tongue be still",JF
"The same it ever was; as free from ill,",JF
As he whose conversation never knew,JF
The Court or City be thou ever true.,JF
"_Peri_. When I fall off from my affection,",JF
"Or mingle my clean thoughts with foul desires,",JF
"First let our great God cease to keep my flocks,",JF
"That being left alone without a guard,",JF
"The Wolf, or Winters rage, Summers great heat,",JF
"And want of Water, Rots; or what to us",JF
"Of ill is yet unknown, full speedily,",JF
And in their general ruine let me feel.,JF
"_Amo_. I pray thee gentle Shepherd wish not so,",JF
I do believe thee: 'tis as hard for me,JF
"To think thee false, and harder than for thee",JF
To hold me foul.,JF
_Peri_. O you are fairer far,JF
"Than the chaste blushing morn, or that fair star",JF
"That guides the wandring Sea-men through the deep,",JF
Straighter than straightest Pine upon the steep,JF
"Head of an aged mountain, and more white",JF
Than the new Milk we strip before day-light,JF
From the full fraighted bags of our fair flocks:,JF
Your hair more beauteous than those hanging locks,JF
Of young _Apollo_.,JF
"_Amo_. Shepherd be not lost,",JF
Y'are sail'd too far already from the Coast,JF
Of our discourse.,JF
_Peri_. Did you not tell me once,JF
"I should not love alone, I should not lose",JF
"Those many passions, vows, and holy Oaths,",JF
"I've sent to Heaven? did you not give your hand,",JF
Even that fair hand in hostage? Do not then,JF
"Give back again those sweets to other men,",JF
You your self vow'd were mine.,JF
"_Amo_. Shepherd, so far as Maidens modesty",JF
"May give assurance, I am once more thine,",JF
Once more I give my hand; be ever free,JF
"From that great foe to faith, foul jealousie.",JF
"_Peri_. I take it as my best good, and desire",JF
"For stronger confirmation of our love,",JF
"To meet this happy night in that fair Grove,",JF
Where all true Shepherds have rewarded been,JF
"For their long service: say sweet, shall it hold?",JF
"_Amo_. Dear friend, you must not blame me if I make",JF
"A doubt of what the silent night may do,",JF
Coupled with this dayes heat to move your bloud:,JF
Maids must be fearful; sure you have not been,JF
Wash'd white enough; for yet I see a stain,JF
"Stick in your Liver, go and purge again.",JF
"_Peri_. O do not wrong my honest simple truth,",JF
My self and my affections are as pure,JF
As those chaste flames that burn before the shrine,JF
Of the great _Dian_: only my intent,JF
"To draw you thither, was to plight our troths,",JF
"With enterchange of mutual chaste embraces,",JF
And ceremonious tying of our selves:,JF
For to that holy wood is consecrate,JF
"A vertuous well, about whose flowry banks,",JF
"The nimble-footed Fairies dance their rounds,",JF
"By the pale moon-shine, dipping oftentimes",JF
"Their stolen Children, so to make them free",JF
"From dying flesh, and dull mortalitie;",JF
"By this fair Fount hath many a Shepherd sworn,",JF
"And given away his freedom, many a troth",JF
"Been plight, which neither envy, nor old time",JF
"Could ever break, with many a chaste kiss given,",JF
In hope of coming happiness; by this,JF
Fresh Fountain many a blushing Maid,JF
Hath crown'd the head of her long loved Shepherd,JF
"With gaudy flowers, whilest he happy sung",JF
Layes of his love and dear Captivitie;,JF
There grows all Herbs fit to cool looser flames,JF
"Our sensual parts provoke, chiding our bloods,",JF
And quenching by their power those hidden sparks,JF
"That else would break out, and provoke our sense",JF
"To open fires, so vertuous is that place:",JF
"Then gentle Shepherdess, believe and grant,",JF
In troth it fits not with that face to scant,JF
Your faithful Shepherd of those chaste desires,JF
"He ever aim'd at, and--",JF
"_Amo_. Thou hast prevail'd, farewel, this coming night",JF
Shall crown thy chast hopes with long wish'd delight.,JF
_Peri_. Our great god _Pan_ reward thee for that good,JF
Thou hast given thy poor Shepherd: fairest Bud,JF
"Of Maiden Vertues, when I leave to be",JF
"The true Admirer of thy Chastitie,",JF
Let me deserve the hot polluted Name,JF
"Of the wild Woodman, or affect: some Dame,",JF
Whose often Prostitution hath begot,JF
"More foul Diseases, than ever yet the hot",JF
"Sun bred through his burnings, whilst the Dog",JF
"Pursues the raging Lion, throwing Fog,",JF
"And deadly Vapour from his angry Breath,",JF
Filling the lower World with Plague and Death.     [_Ex._ Am.,JF
_Enter_ Amaryllis.,JF
"_Ama_. Shepherd, may I desire to be believ'd,",JF
What I shall blushing tell?,JF
"_Peri_. Fair Maid, you may.",JF
"_Am_. Then softly thus, I love thee, _Perigot_,",JF
"And would be gladder to be lov'd again,",JF
Than the cold Earth is in his frozen arms,JF
"To clip the wanton Spring: nay do not start,",JF
"Nor wonder that I woo thee, thou that art",JF
"The prime of our young Grooms, even the top",JF
Of all our lusty Shepherds! what dull eye,JF
"That never was acquainted with desire,",JF
"Hath seen thee wrastle, run, or cast the Stone",JF
"With nimble strength and fair delivery,",JF
"And hath not sparkled fire, and speedily",JF
Sent secret heat to all the neighbouring Veins?,JF
"Who ever heard thee sing, that brought again",JF
"That freedom back, was lent unto thy Voice;",JF
Then do not blame me (Shepherd) if I be,JF
"One to be numbred in this Companie,",JF
"Since none that ever saw thee yet, were free.",JF
"_Peri_. Fair Shepherdess, much pity I can lend",JF
To your Complaints: but sure I shall not love:,JF
"All that is mine, my self, and my best hopes",JF
Are given already; do not love him then,JF
That cannot love again: on other men,JF
"Bestow those heats more free, that may return",JF
"You fire for fire, and in one flame equal burn.",JF
_Ama_. Shall I rewarded be so slenderly,JF
"For my affection, most unkind of men!",JF
"If I were old, or had agreed with Art",JF
"To give another Nature to my Cheeks,",JF
Or were I common Mistress to the love,JF
"Of every Swain, or could I with such ease",JF
"Call back my Love, as many a Wanton doth;",JF
"Thou might'st refuse me, Shepherd; but to thee",JF
"I am only fixt and set, let it not be",JF
"A Sport, thou gentle Shepherd to abuse",JF
The love of silly Maid.,JF
"_Peri_. Fair Soul, ye use",JF
"These words to little end: for know, I may",JF
